RecordNumber,EventId,TimeCreated,Computer,User,ProcessGuid,Image,ParentImage,CommandLine,ParentCommandLine,IntegrityLevel,Hashes,TargetImage,TargetObject,Details,GrantedAccess,CallTrace,DestinationHostname,DestinationIp,DestinationPort
101456,1,2026-04-12T09:44:00.014Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{d001...0060},C:\Windows\System32\MicrosoftEdgeUpdate.exe,C:\Windows\System32\services.exe,"""MicrosoftEdgeUpdate.exe"" /svc","C:\Windows\System32\services.exe",System,"SHA256=aa22...",,,,,,,,
101457,3,2026-04-12T09:44:02.181Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{d001...0060},C:\Windows\System32\MicrosoftEdgeUpdate.exe,,,,,,,,,,,msedge.api.cdp.microsoft.com,2603:1030:407::2,443
101458,3,2026-04-12T09:45:00.014Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{c401...0032},C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\Teams\current\Teams.exe,,,,,,,,,,,teams.microsoft.com,52.114.132.14,443
101459,11,2026-04-12T09:45:33.881Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{a301...0012},C:\Windows\System32\svchost.exe,,,,,,,C:\Windows\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.409.201.0.exe,,,,,
101460,1,2026-04-12T09:46:22.011Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{d101...0061},C:\Program Files\Windows Defender\MpCmdRun.exe,C:\Program Files\Windows Defender\MsMpEng.exe,"""MpCmdRun.exe"" -SignatureUpdate","MsMpEng.exe",System,"SHA256=99aa...",,,,,,,,
101461,3,2026-04-12T09:47:00.111Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b301...0030},C:\Users\katerina.morfopoulou\AppData\Local\slack\slack.exe,,,,,,,,,,,files-edge.slack.com,52.85.132.90,443
101462,3,2026-04-12T09:48:22.001Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b204...0020},C:\Program Files\Google\Chrome\Application\chrome.exe,,,,,,,,,,,notify.trello.com,104.16.128.20,443
101463,3,2026-04-12T09:49:04.221Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b204...0020},C:\Program Files\Google\Chrome\Application\chrome.exe,,,,,,,,,,,api.segment.io,52.203.87.114,443
101464,1,2026-04-12T09:50:00.014Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{d201...0062},C:\Users\katerina.morfopoulou\AppData\Local\Programs\Microsoft VS Code\Code.exe,C:\Windows\explorer.exe,"""Code.exe""","""explorer.exe""",Medium,"SHA256=eebb...",,,,,,,,
101465,3,2026-04-12T09:50:04.011Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{d201...0062},C:\Users\katerina.morfopoulou\AppData\Local\Programs\Microsoft VS Code\Code.exe,,,,,,,,,,,marketplace.visualstudio.com,52.113.194.132,443
101466,11,2026-04-12T09:50:00.221Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{d201...0062},C:\Users\katerina.morfopoulou\AppData\Local\Programs\Microsoft VS Code\Code.exe,,,,,,,,C:\Users\katerina.morfopoulou\AppData\Local\Temp\VSCode-Log-9911.log,,,,,
101488,3,2026-04-12T09:52:00.222Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{a0f1...0001},C:\Windows\System32\svchost.exe,,,,,,,,,,,fe3.delivery.mp.microsoft.com,2603:1030:...,443
101489,3,2026-04-12T09:53:11.100Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{a0f1...0001},C:\Windows\System32\svchost.exe,,,,,,,,,,,array1.prd.dsp.mp.microsoft.com,52.147.219.128,443
101490,3,2026-04-12T09:54:04.881Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{c401...0032},C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\Teams\current\Teams.exe,,,,,,,,,,,statics.teams.cdn.office.net,13.107.136.9,443
101502,3,2026-04-12T09:55:31.001Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b204...0020},C:\Program Files\Google\Chrome\Application\chrome.exe,,,,,,,,,,,clients2.google.com,142.250.185.238,443
101503,3,2026-04-12T09:55:44.221Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b204...0020},C:\Program Files\Google\Chrome\Application\chrome.exe,,,,,,,,,,,safebrowsing.google.com,142.250.185.238,443
101504,1,2026-04-12T09:57:11.311Z,FIN-WKS-07,NORTHWIND\edr-collector,{d301...0070},C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\svchost.exe,"powershell.exe -NoProfile -Command Get-Process | Select-Object Name,Id,CPU | ConvertTo-Json","C:\Windows\System32\svchost.exe -k netsvcs",System,"SHA256=88b1a76b1cf6e18d9a1a0e2c1b8f7d6e2c1a9b8f7e6d5c4b3a29180716253647",,,,,,,,
101505,3,2026-04-12T09:57:12.011Z,FIN-WKS-07,NORTHWIND\edr-collector,{d301...0070},C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,,,,edr-collector.northwind.lab,10.10.10.30,443
